"commit","id","name","node_id","serialVersionUID","tarball_url","zipball_url"
"Commit [sha=f6869cea6cecfe1500c88fa10228842423284ce2, url=https://api.github.com/repos/WordPress/WordPress/commits/f6869cea6cecfe1500c88fa10228842423284ce2]","60de44d7d7d62a2031d11bef","4.3.3","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4zLjM=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.3.3","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.3.3"
"Commit [sha=3921fd373acaeeeee2029f762b676075cf375b33, url=https://api.github.com/repos/WordPress/WordPress/commits/3921fd373acaeeeee2029f762b676075cf375b33]","60de44d7d7d62a2031d11a27","3.7","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy43","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.7","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.7"
"Commit [sha=150dd442d2b80311f2b4cb1546872eb7b975e06c, url=https://api.github.com/repos/WordPress/WordPress/commits/150dd442d2b80311f2b4cb1546872eb7b975e06c]","60de46821778ce403de10402","4.0.6","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4wLjY=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.0.6","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.0.6"
"Commit [sha=a7e5b6a48e0feb5bdc9af3341e103cefc329b3e2, url=https://api.github.com/repos/WordPress/WordPress/commits/a7e5b6a48e0feb5bdc9af3341e103cefc329b3e2]","60de456df41b58030f40b9db","3.7.7","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy43Ljc=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.7.7","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.7.7"
"Commit [sha=2152a6a1ea3db59fcc626fe8129d6fc175e0df66, url=https://api.github.com/repos/WordPress/WordPress/commits/2152a6a1ea3db59fcc626fe8129d6fc175e0df66]","60de4821d827e516288d50d3","4.7.4","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC43LjQ=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.7.4","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.7.4"
"Commit [sha=778fb6ba061f41b9d881bd489aa6126c8fa05ff3, url=https://api.github.com/repos/WordPress/WordPress/commits/778fb6ba061f41b9d881bd489aa6126c8fa05ff3]","60de44d7d7d62a2031d11b52","3.8.27","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy44LjI3","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.8.27","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.8.27"
"Commit [sha=f6e7d574f8f53ad70eef2268820c23d1fe7ed48f, url=https://api.github.com/repos/WordPress/WordPress/commits/f6e7d574f8f53ad70eef2268820c23d1fe7ed48f]","60de456df41b58030f40b9e2","5.4.6","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNS40LjY=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/5.4.6","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/5.4.6"
"Commit [sha=477111b38423638a03b143a64ab8f65d82f02392, url=https://api.github.com/repos/WordPress/WordPress/commits/477111b38423638a03b143a64ab8f65d82f02392]","60de4574f41b58030f40bb5d","3.1","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy4x","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.1","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.1"
"Commit [sha=cad04902d6a162ba8320f82a6c65c7eb58cf9759, url=https://api.github.com/repos/WordPress/WordPress/commits/cad04902d6a162ba8320f82a6c65c7eb58cf9759]","60de44d7d7d62a2031d11add","5.3.2","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNS4zLjI=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/5.3.2","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/5.3.2"
"Commit [sha=e4bd28c86f6f606bed2e8f85ea6f1834f3d63974, url=https://api.github.com/repos/WordPress/WordPress/commits/e4bd28c86f6f606bed2e8f85ea6f1834f3d63974]","60de456ef41b58030f40ba12","2.1.3","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMi4xLjM=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/2.1.3","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/2.1.3"
"Commit [sha=be55c7daaf073e466a5bbb576dea0a3ad8a37d6f, url=https://api.github.com/repos/WordPress/WordPress/commits/be55c7daaf073e466a5bbb576dea0a3ad8a37d6f]","60de46821778ce403de103af","3.9.11","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy45LjEx","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.9.11","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.9.11"
"Commit [sha=1c674db11425247c722b9ca5c6dd017466b58bb5, url=https://api.github.com/repos/WordPress/WordPress/commits/1c674db11425247c722b9ca5c6dd017466b58bb5]","60de4821d827e516288d50d4","5.1.2","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNS4xLjI=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/5.1.2","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/5.1.2"
"Commit [sha=a754739f5ab24d06d55c6fb77e924aeb0f721087, url=https://api.github.com/repos/WordPress/WordPress/commits/a754739f5ab24d06d55c6fb77e924aeb0f721087]","60de46811778ce403de10328","3.6.1","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMy42LjE=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/3.6.1","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/3.6.1"
